economy,time,Renewable energy consumption,Fossil fuel energy consumption,CO2 intensity,CO2 emissions (metric tons per capita),Other greenhouse gas emissions,HFC gas emissions,Methane emissions,Nitrous oxide emissions,PFC gas emissions,SF6 gas emissions,"Droughts, floods, extreme temperatures",Natural gas rents (% of GDP),GDP per capita (current US$),Mortality rate due to AP,Poverty gap at $3.20 a day,Multidimensional poverty headcount ratio
AFE,YR1998,64.1063653486032,47.7334775082204,1.57945506067785,0.969680077831292,-23891.5331993581,,374740.0,219470.0,,,,0.00510996939787065,703.091356249091,,,
AFE,YR1999,65.1689274146982,47.9284716695163,1.4765123248736,0.908374393979044,-22184.4469613763,,377590.0,215020.0,,,,0.0102518936184522,675.804263446166,,,
AFE,YR2000,65.1324446480537,46.9472517429038,1.49329174606832,0.900399149757883,-20582.6629631686,,377850.0,211260.0,,,,0.020776813393287,713.245921054769,,,
AFE,YR2001,65.568144849022,47.4357459507557,1.60575973545555,0.971980786600712,29919.7396550828,,382600.0,210450.0,,,,0.0355702172353299,633.608788994641,,,
AFE,YR2002,64.5788543097796,46.1952181233608,1.64391666460682,0.975749134955925,27150.5174729043,,405520.0,224400.0,,,,0.0344170184367332,631.870339558401,,,
AFE,YR2003,64.1031447814253,47.2717785407109,1.67181413288619,1.00996289646531,22082.3336554837,,417940.0,229140.0,,,,0.0203106474829898,819.743981457504,,,
AFE,YR2004,63.2161804471189,48.8620583293628,1.70693439599338,1.05718153490629,28499.0364940208,,426540.0,231320.0,,,,0.0382007677549316,993.762711096436,,,
AFE,YR2005,62.5005964549218,48.6069666946122,1.68758596128245,1.03299842832055,16324.459548341,,443630.0,239810.0,,,,0.050934928450025,1129.80871033245,,,
AFE,YR2006,62.2014196406444,48.2443932141172,1.68636533626727,1.02364555057226,15362.0271865069,,444700.0,233690.0,,,,0.0656105686646169,1237.11180175654,,,
AFE,YR2007,61.4185085142526,49.5511715569521,1.6935843149162,1.04596778455517,18215.2630981952,,472630.0,249430.0,,,,0.0664990917518222,1382.86903874723,,,
AFE,YR2008,61.8989052783575,50.8885624008154,1.71066567310991,1.08644884945052,24455.6242228478,,491160.0,257080.0,,,,0.0745806604306236,1442.16815788071,,,
AFE,YR2009,61.2525540915309,49.8828729702859,1.63806735205079,1.02195356572593,27924.6169166813,,496350.0,256110.0,,,,0.0655435284858489,1412.11128439583,,,
AFE,YR2010,62.5645286167873,49.0353285938329,1.70646871325305,1.04887555573041,42800.2707878595,,515480.0,267280.0,,,,0.0768588739143782,1634.44825309864,,,
AFE,YR2011,62.2938415552246,48.303862388358,1.64604578940594,1.0053381095461,48331.319894363,,523850.0,272840.0,,,,0.1187437225714,1770.73623014017,,,
AFE,YR2012,61.1095543464239,47.5724129880436,1.68557943256546,1.02164632918829,72440.6335418639,,534240.0,275740.0,,,,0.125880460315105,1736.16655986305,,,
AFE,YR2013,60.4688380088513,46.8951802323023,1.70786904693025,1.03183309057281,70001.9866557046,,538060.0,274830.0,,,,0.121777241896461,1713.89929866184,,,
AFE,YR2014,60.8039336588303,49.304292087898,1.75083161155932,1.0411447920002,73024.711698547,,543720.0,276360.0,,,,0.114926297482463,1703.59629838885,,,
AFE,YR2015,61.0972640976963,,,0.987393167382925,68559.00421381,,554570.0,279960.0,,,,0.0799763451273045,1549.03794037642,,,
AFE,YR2016,,,,0.971016455310255,73149.4315073118,,563050.0,284380.0,,,,0.0525784228124518,1431.7787234042,137.502261930037,,
AFE,YR2017,,,,0.959978016817397,,,564380.0,286140.0,,,,0.0763198310221808,1573.06338581001,,,
AFE,YR2018,,,,0.933541201136227,,,570040.0,286710.0,,,,0.172713883611917,1574.97864775317,,,
AFE,YR2019,,,,,,,,,,,,0.119035141595422,1530.05917655094,,,
AFG,YR1970,,,,0.149651313706331,-679.915897026061,,10202.0,3042.2563,,,,0.0,156.518771348706,,,
AFG,YR1971,,,,0.165208248913986,-584.26602397919,,10201.5,3006.1382,,,,0.0,159.567508996258,,,
AFG,YR1972,,,,0.12999551700409,-365.030981445311,,9170.59,2530.158,,,,0.00419708770498417,135.317227981591,,,
AFG,YR1973,,,,0.135366587543459,-295.75628417969,,9403.54,2674.4041,,,,0.0479294091327624,143.144649500081,,,
AFG,YR1974,,,,0.154503116098014,-67.2785904693615,,9987.93,2937.3182,,,,0.170113800016297,173.653624742026,,,
AFG,YR1975,,,,0.167612302906638,-887.23239477539,,10476.6,3153.723,,,,0.436293908157813,186.510838346447,,,
AFG,YR1976,,,,0.153557886047794,-824.0528984375,,10535.6,3265.633,,,,0.550646513081082,197.445507551145,,,
AFG,YR1977,,,,0.181522331822523,-357.953454589839,,10455.9,3268.981,,,,0.541357659211818,224.225001566116,,,
AFG,YR1978,,,,0.16189421955253,-2135.11827392578,,10380.1,3272.918,,,,0.269173167950155,247.354087806417,,,
AFG,YR1979,,,,0.167066361644792,-1357.8400668335,,10176.2,3214.545,,,,0.407267298196983,275.738115377232,,,
AFG,YR1980,,,,0.131783026990604,-328.321204528811,,10376.6,3275.026,,,,0.520996785139083,272.655510200686,,,
AFG,YR1981,,,,0.150614587555618,-321.667406005859,,10304.8,3256.705,,,,0.176256474550542,264.111197144336,,,
AFG,YR1982,,,,0.163104060867604,-450.782233276368,,10259.8,3327.323,,,,,,,,
AFG,YR1983,,,,0.201224272460123,-419.10370056152,,9858.04,3188.66,,,,,,,,
AFG,YR1984,,,,0.231961079966366,-454.107259521478,,9054.65,3062.1521,,,,,,,,
AFG,YR1985,,,,0.293957030722544,-170.09898925781,,8308.71,2862.5369,,,,,,,,
AFG,YR1986,,,,0.26777194992884,-18.9635327148399,,7415.09,2516.9024,,,,,,,,
AFG,YR1987,,,,0.26922950314782,-119.123404541022,,7485.19,2677.1073,,,,,,,,
AFG,YR1988,,,,0.246823207558473,97.0326580810502,,7920.27,2772.0448,,,,,,,,
AFG,YR1989,,,,0.233882273405403,84.7511590576196,,7465.04,2771.307,,,,,,,,
AFG,YR1990,15.9245316828932,,,0.238472916123355,935.064407348629,,8970.0,3250.0,,,,,,,,
AFG,YR1991,17.0364435282942,,,0.20603028073656,765.938262939449,,9070.0,3290.0,,,,,,,,
AFG,YR1992,26.5216286544368,,,0.0987191160179498,-263.076820373541,,8990.0,3200.0,,,,,,,,
AFG,YR1993,30.5856670489932,,,0.0859856046188432,-325.708999633789,,8890.0,3200.0,,,,,,,,
AFG,YR1994,32.7962505504008,,,0.0761314539561651,-650.316902160641,,8960.0,2990.0,,,,,,,,
AFG,YR1995,35.0756402917937,,,0.0690201164374886,-1003.03075408936,,9140.0,3060.0,,,,,,,,
AFG,YR1996,37.9457475001443,,,0.0625880343135185,-1066.2607460022,,9930.0,3290.0,,,,,,,,
AFG,YR1997,41.4326008731029,,,0.0568266177530693,-1008.48352432251,,10600.0,3590.0,,,,,,,,
AFG,YR1998,44.0943368543633,,,0.0531974990082466,-992.5396156311,,11100.0,3880.0,,,,,,,,
AFG,YR1999,52.1857743728053,,,0.040652730150598,-1274.8111000061,,11870.0,4150.0,,,,,,,,
AFG,YR2000,54.2431983947754,,,0.0370549371204185,-1556.07284164429,,10590.0,3620.0,,,,,,,,
