,GDP per capita (current US$),CO2 emissions (metric tons per capita)
191,1965.11848480873,0.490866786557112
192,2157.48114862974,0.504655298587815
193,2212.85313466307,0.507671120670619
194,1894.3101949536,0.480743071312896
195,1673.83552685464,0.472959364018388
196,1613.47355303429,0.476437768956377
197,1704.1396025899,0.515544238958445
198,1777.91867152634,
199,,0.608224115334207
200,,0.564505062620433
201,,0.721198310440209
202,,0.751202771989461
203,,0.720750476623734
204,,0.628569443538819
205,,0.451346016212362
206,,0.469216256201706
207,,0.694730972814768
208,,0.683059133454586
209,711.40957856021,0.640966325352553
210,642.768196831557,0.611132856307255
211,620.333123364606,0.519353407935757
212,623.815362351581,0.551348098706374
213,638.099006801712,0.520982747768118
214,758.745063152158,0.4719029615861
215,685.728127726666,0.451618663976258
216,756.767926189975,0.544085284959736
217,792.833017228347,0.463508254524667
