,economy,time,Renewable energy consumption,Fossil fuel energy consumption,CO2 intensity,CO2 emissions (metric tons per capita),Other greenhouse gas emissions,HFC gas emissions,Methane emissions,Nitrous oxide emissions,PFC gas emissions,SF6 gas emissions,"Droughts, floods, extreme temperatures",Natural gas rents (% of GDP),GDP per capita (current US$),Mortality rate due to AP,Poverty gap at $3.20 a day,Multidimensional poverty headcount ratio
240,AGO,YR2011,49.239200592041,43.8497838995534,2.33108846718115,1.2163169789758,6458.2004394531,,38100.0,18270.0,,,,0.1198002487078,4615.46821863819,,,
241,AGO,YR2012,49.4432983398438,48.0100597690859,2.18116929132836,1.20479888322113,7743.1979980469,,37110.0,17330.0,,,,0.107606086216639,5100.09702685927,,,
242,AGO,YR2013,47.9384994506836,46.5085539184957,2.36349604128816,1.26154174238672,8441.2580566406,,37420.0,17900.0,,,,0.113620886744109,5254.88112606683,,,
243,AGO,YR2014,48.2112998962402,48.3055930097329,2.36015839981942,1.28536455265954,8094.4357910156,,36700.0,17350.0,,,,0.0834171073975247,5408.41170002082,,,
244,AGO,YR2015,47.815601348877,,,1.26092098873993,5850.0637207031,,37180.0,17950.0,,,,0.0615661491596535,4166.97983330278,,,54.0
245,AGO,YR2016,49.0080986022949,,,1.2277029417926,5203.0671386719,,37400.0,18070.0,,,,0.0851872297731689,3506.07312818832,118.5,,
246,AGO,YR2017,56.1805000305176,,,1.03431729977182,,,37450.0,18490.0,,,,0.186031596287628,4095.8100568707,,,
247,AGO,YR2018,56.7854995727539,,,0.88738036390839,,,35520.0,16440.0,,,,0.777517066490027,3289.64399476678,,38.7,
279,ALB,YR2000,41.4449996948242,58.7150980055366,1.76782491729702,1.026213108529,150.656036376949,15.5,3750.0,1180.0,0.0,0.0,,0.0251833702247385,1126.68334010717,,,
280,ALB,YR2001,39.125301361084,60.9558278415635,1.76174335995098,1.0522280929869,-5.31384277343932,,3690.0,1150.0,,,,0.0418867906890572,1281.6598256178,,,
281,ALB,YR2002,35.8958015441895,63.233130384996,1.86213913605682,1.22910118288698,-6.6241302490198,,3640.0,1290.0,,,,0.0293623740833124,1425.12421860142,,2.9,
282,ALB,YR2003,33.7517013549805,64.5283712223687,2.08610063126116,1.35214448140818,59.4100036621103,,3680.0,1310.0,,,,0.0247926353159977,1846.12012081207,,,
283,ALB,YR2004,35.934700012207,65.5782732614305,1.98105209104897,1.41727335767255,79.3008270263699,,3590.0,1270.0,,,,0.0170802267009623,2373.58129170055,,,
284,ALB,YR2005,36.8683013916016,66.4866805505628,1.87815612138149,1.35149180454706,98.8053741455096,61.8,3580.0,1280.0,0.0,0.0,,0.0157767963443909,2673.78658429559,,1.8,
285,ALB,YR2006,31.7098999023438,64.4559899021893,1.91461298816722,1.35336220283257,151.1876373291,,3530.0,1220.0,,,,0.027384623689268,2972.74292399799,,,
286,ALB,YR2007,32.100399017334,65.1223924710814,2.08993557352636,1.42086728796502,219.94317626953,,3400.0,1220.0,,,,0.0082445373051616,3595.03805682893,,,
287,ALB,YR2008,35.9118995666504,63.8471757910902,1.99064444846498,1.41484755272088,248.67105793953,86.9,3230.0,1140.0,0.0,0.0,,0.0313678564906814,4370.5399247769,,0.8,
288,ALB,YR2009,37.2151985168457,63.4217264005157,2.01504661427856,1.47565225025013,855.45292520523,,3110.0,1140.0,,,5.26957699339956,0.0289650221033628,4114.13489916342,,,
289,ALB,YR2010,37.1137008666992,63.2390037485134,2.15626621319164,1.57225093811545,809.13479995728,105.0,3120.0,1130.0,0.0,0.0,,0.0076285973786753,4094.34838574494,,,
290,ALB,YR2011,35.9611015319824,61.5027652749324,2.26783592207104,1.73482330790188,1014.18354034424,,3120.0,1170.0,,,,0.0107794681154291,4437.14261222684,,,
291,ALB,YR2012,40.0466995239258,57.7540817221547,2.29553798538975,1.57909199452076,681.64368367195,,3170.0,1180.0,,,,0.0201441406602045,4247.63004748194,,1.3,
292,ALB,YR2013,41.2869987487793,56.3953388128232,2.06472280988515,1.65452427763954,715.21883964539,,3190.0,1150.0,,,,0.0208437415734593,4413.06200528903,,,
293,ALB,YR2014,38.6973991394043,61.4218013942638,2.23486361552126,1.80678854066866,709.88638687134,,3230.0,1170.0,,,,0.0245111230959871,4578.63320812155,,2.5,
294,ALB,YR2015,38.6255989074707,,,1.75998705871449,403.39053225517,,3250.0,1210.0,,,,0.0214776528963928,3952.80253807527,,0.9,
295,ALB,YR2016,39.5872993469238,,,1.71412617289866,11.6813595294998,,3250.0,1250.0,,,,0.0165112673466783,4124.05538986272,68.0,0.9,
296,ALB,YR2017,37.219799041748,,,1.94887203810602,,,3210.0,1210.0,,,,0.0257646684924479,4531.0193737689,,0.9,
297,ALB,YR2018,38.2663993835449,,,1.93973156347946,,,3160.0,1100.0,,,,0.0284076026495559,5287.66369446913,,0.6,
329,AND,YR2000,14.5081996917725,,,7.95228628230616,,,30.0,0.0,,,,,21854.2468030614,,,
330,AND,YR2001,15.3882999420166,,,7.72154906153481,,,30.0,0.0,,,,,22970.5122133619,,,
331,AND,YR2002,15.8297996520996,,,7.56624029237094,,,40.0,0.0,,,,,25067.2400639132,,,
332,AND,YR2003,16.5153999328613,,,7.24241596064499,,,40.0,0.0,,,,,32272.8458909877,,,
333,AND,YR2004,16.5666999816895,,,7.34426229508197,,,40.0,0.0,,,,,37966.1872524395,,,
334,AND,YR2005,16.6079998016357,,,7.35378022340277,,,40.0,0.0,,,,,40064.2249292197,,,
